epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,6491.55,0.41576,0.33593,0.83881,0.93887,0.91711,0.96676,0.88418,0.71113,0.69648,1.02272,0.00113889,0.00113889,0.00113889
66,6592.75,0.40452,0.33164,0.83467,0.95365,0.91575,0.96723,0.88784,0.68009,0.71306,1.00865,0.00113064,0.00113064,0.00113064
67,6690.98,0.38369,0.31787,0.83391,0.93973,0.9263,0.96702,0.88586,0.6906,0.6873,1.01729,0.00112239,0.00112239,0.00112239
68,6791.25,0.38729,0.31721,0.83274,0.94149,0.90965,0.96911,0.88774,0.69366,0.68782,1.01126,0.00111414,0.00111414,0.00111414
69,6888.18,0.39563,0.32373,0.83945,0.93698,0.92938,0.97289,0.88656,0.68824,0.68509,1.00379,0.00110589,0.00110589,0.00110589
70,6992.46,0.39893,0.31773,0.8336,0.93592,0.92463,0.97178,0.88294,0.70255,0.67788,1.01005,0.00109764,0.00109764,0.00109764
71,7092.96,0.41129,0.32953,0.83889,0.93268,0.93325,0.96837,0.87803,0.71426,0.66464,1.0187,0.00108938,0.00108938,0.00108938
72,7194.65,0.38899,0.3214,0.8324,0.94859,0.92433,0.97528,0.88701,0.69519,0.60924,1.01,0.00108113,0.00108113,0.00108113
73,7297.71,0.39852,0.3234,0.83515,0.94713,0.92849,0.97321,0.88686,0.68788,0.64561,1.01398,0.00107288,0.00107288,0.00107288
74,7398.93,0.39335,0.32393,0.83786,0.95066,0.91825,0.96765,0.88566,0.71155,0.73058,1.01478,0.00106463,0.00106463,0.00106463
75,7503.16,0.40433,0.32374,0.83117,0.95355,0.91824,0.96998,0.88685,0.71581,0.66138,1.02318,0.00105638,0.00105638,0.00105638
76,7604.58,0.38589,0.31232,0.83124,0.95622,0.91539,0.97232,0.88956,0.69702,0.67141,1.01083,0.00104813,0.00104813,0.00104813
77,7706.06,0.3924,0.31479,0.83457,0.95081,0.91657,0.96443,0.8869,0.67286,0.72646,1.00972,0.00103987,0.00103987,0.00103987
78,7805.97,0.39878,0.31863,0.83615,0.93924,0.92132,0.96364,0.88275,0.70202,0.71801,1.01889,0.00103162,0.00103162,0.00103162
79,7907.99,0.38449,0.30719,0.82857,0.93501,0.92998,0.97426,0.88728,0.6887,0.60226,1.01456,0.00102337,0.00102337,0.00102337
80,8011.2,0.39775,0.31175,0.83083,0.95366,0.92738,0.97456,0.88479,0.72446,0.58454,1.03336,0.00101512,0.00101512,0.00101512
81,8112.79,0.3851,0.30784,0.83017,0.9421,0.92804,0.96961,0.8861,0.678,0.62092,1.00556,0.00100687,0.00100687,0.00100687
82,8215.66,0.40326,0.32076,0.83543,0.94449,0.93447,0.97199,0.88859,0.66072,0.61557,0.99027,0.000998616,0.000998616,0.000998616
83,8318.41,0.37292,0.29579,0.82458,0.95891,0.90661,0.9706,0.88868,0.68852,0.68762,1.00916,0.000990365,0.000990365,0.000990365
84,8415.37,0.37287,0.30629,0.83505,0.95217,0.92755,0.97143,0.88875,0.7005,0.65249,1.00357,0.000982113,0.000982113,0.000982113
85,8515.84,0.40308,0.31961,0.83624,0.94215,0.93809,0.97691,0.89134,0.66852,0.58899,1.00266,0.000973861,0.000973861,0.000973861
86,8616.51,0.37058,0.29838,0.83078,0.94134,0.91302,0.9672,0.88529,0.67326,0.6588,1.0027,0.00096561,0.00096561,0.00096561
87,8714.97,0.37289,0.30198,0.82853,0.94999,0.93447,0.97551,0.89254,0.67399,0.60953,1.00326,0.000957358,0.000957358,0.000957358
88,8813.2,0.38445,0.30303,0.82902,0.95236,0.91887,0.96639,0.88777,0.6895,0.74312,1.00958,0.000949106,0.000949106,0.000949106
89,8909.16,0.35784,0.29193,0.82606,0.95326,0.92495,0.97138,0.89187,0.6838,0.63161,1.02063,0.000940855,0.000940855,0.000940855
90,9006.24,0.36598,0.29665,0.83073,0.94435,0.92853,0.97325,0.89369,0.66771,0.64504,1.0052,0.000932603,0.000932603,0.000932603
91,9102.96,0.35904,0.29362,0.82844,0.95073,0.93141,0.97397,0.89195,0.69014,0.6507,1.01431,0.000924352,0.000924352,0.000924352
92,9200.99,0.35831,0.2872,0.82398,0.94713,0.9282,0.97506,0.89365,0.69001,0.65637,1.00984,0.0009161,0.0009161,0.0009161
93,9299.72,0.36579,0.29163,0.82826,0.94614,0.93038,0.97743,0.89462,0.68649,0.59603,1.01502,0.000907848,0.000907848,0.000907848
94,9397.15,0.35307,0.28594,0.82937,0.95796,0.91725,0.97765,0.9022,0.65575,0.60795,0.9954,0.000899597,0.000899597,0.000899597
